"AUC","Brier","model","EPV","P","rho","beta_pattern","sim"
0.719466965463141,0.214503841347684,"MLE",10,4,0,"equal",5
0.740841562939974,0.216043886718829,"MLE",10,4,0,"equal",6
0.735560784264779,0.211864736892384,"MLE",10,4,0,"equal",7
0.712906678769732,0.230487601049598,"MLE",10,4,0,"equal",8
0.733925513411763,0.214940078647792,"MLE",10,4,0,"equal",9
0.675157978854859,0.227841920175991,"MLE",10,4,0,"equal",10
0.728518155028848,0.217353472008572,"MLE",10,4,0,"strong",1
0.74427000906735,0.207239554151836,"MLE",10,4,0,"strong",2
0.74252769948725,0.207390298818741,"MLE",10,4,0,"strong",3
0.743218066829644,0.21102860275408,"MLE",10,4,0,"strong",4
0.687220267488812,0.223944197721155,"MLE",10,4,0,"strong",5
0.686931472668053,0.244159057153245,"MLE",10,4,0,"strong",6
0.718611887674728,0.216508076798626,"MLE",10,4,0,"strong",7
0.744804679999999,0.206984034607644,"MLE",10,4,0,"strong",8
0.744816147669406,0.220272667911905,"MLE",10,4,0,"strong",9
0.733990677438509,0.211897435340674,"MLE",10,4,0,"strong",10
0.547600321038847,0.253945020426664,"MLE",10,4,0,"noise",1
0.62183036965899,0.254805342128542,"MLE",10,4,0,"noise",2
0.619946110835713,0.249001031913918,"MLE",10,4,0,"noise",3
0.627952081889334,0.24298615159928,"MLE",10,4,0,"noise",4
0.628393634004076,0.249873852688904,"MLE",10,4,0,"noise",5
0.580184572829531,0.275215768632872,"MLE",10,4,0,"noise",6
0.557670714886111,0.25370870681791,"MLE",10,4,0,"noise",7
0.537770380312139,0.266866533927545,"MLE",10,4,0,"noise",8
0.619278716917135,0.240924019308515,"MLE",10,4,0,"noise",9
0.61463393346287,0.247807422956036,"MLE",10,4,0,"noise",10
0.59227243585077,0.249641875232916,"MLE",10,4,0,"halfnoise",1
0.586786339073796,0.247080046374369,"MLE",10,4,0,"halfnoise",2
0.525065424167485,0.262582124464095,"MLE",10,4,0,"halfnoise",3
0.598928733218331,0.256649033250508,"MLE",10,4,0,"halfnoise",4
0.582536645175242,0.255030067764427,"MLE",10,4,0,"halfnoise",5
0.561607240181004,0.25762711946721,"MLE",10,4,0,"halfnoise",6
0.598421185434159,0.242310533471098,"MLE",10,4,0,"halfnoise",7
0.602335234654655,0.251251639699531,"MLE",10,4,0,"halfnoise",8
0.588937228937232,0.247712211083298,"MLE",10,4,0,"halfnoise",9
0.627454291807624,0.248870696031771,"MLE",10,4,0,"halfnoise",10
0.786370661286498,0.208404283348464,"MLE",10,4,0.5,"equal",1
0.815254700672523,0.200859613744684,"MLE",10,4,0.5,"equal",2
0.805612962976,0.182625653352827,"MLE",10,4,0.5,"equal",3
