"rMPSE","MAPE","Brier","EPV","P","rho","beta_pattern","sim","model"
0.135560898907354,0.111788799733206,0.242029958739297,5,12,0,"halfnoise",2,"MLE"
0.159467796573464,0.129334349008562,0.249235649199371,5,12,0,"halfnoise",3,"MLE"
0.179896468513387,0.145377118181159,0.258606357745054,5,12,0,"halfnoise",4,"MLE"
0.142324223787621,0.113869315184758,0.240768397178108,5,12,0,"halfnoise",5,"MLE"
0.119457093156942,0.0976051147164913,0.237544684594564,5,12,0,"halfnoise",6,"MLE"
0.145881287435794,0.122675826594815,0.243036135445942,5,12,0,"halfnoise",7,"MLE"
0.198808155748163,0.161267160807652,0.265092936236252,5,12,0,"halfnoise",8,"MLE"
0.14139280687391,0.11918980315912,0.244084111402628,5,12,0,"halfnoise",9,"MLE"
0.155764822183578,0.125049400210396,0.245794077223918,5,12,0,"halfnoise",10,"MLE"
0.102915490984151,0.0579128980349122,0.0929003781392996,5,12,0.5,"equal",1,"MLE"
0.206058670630162,0.117735506116571,0.124531633794275,5,12,0.5,"equal",2,"MLE"
0.158496803034842,0.0903168950125829,0.110653300752261,5,12,0.5,"equal",3,"MLE"
0.106025328000285,0.0608151961950988,0.0948333769878847,5,12,0.5,"equal",4,"MLE"
0.16718340390632,0.0949858491880464,0.111637479568557,5,12,0.5,"equal",5,"MLE"
0.170303933964849,0.0968474164836735,0.116210843327602,5,12,0.5,"equal",6,"MLE"
0.194445687221054,0.112385250440507,0.123256048602541,5,12,0.5,"equal",7,"MLE"
0.168324175682541,0.0955221840002701,0.111865670406553,5,12,0.5,"equal",8,"MLE"
0.151703071756227,0.0856979115358662,0.105207601891317,5,12,0.5,"equal",9,"MLE"
0.195434471610644,0.114706189213513,0.122909605589103,5,12,0.5,"equal",10,"MLE"
0.221037143036671,0.154717308488508,0.182162969122038,5,12,0.5,"strong",1,"MLE"
0.227123481975997,0.158937582993169,0.184984106307349,5,12,0.5,"strong",2,"MLE"
0.109090660318449,0.0751563878422953,0.1477636369581,5,12,0.5,"strong",3,"MLE"
0.149615382040356,0.104445256411439,0.154486589730973,5,12,0.5,"strong",4,"MLE"
0.192001867553201,0.133253558910984,0.175772380989698,5,12,0.5,"strong",5,"MLE"
0.121838740207149,0.0842800769581568,0.145658197804328,5,12,0.5,"strong",6,"MLE"
0.120768178310045,0.0868520534991528,0.146990157611923,5,12,0.5,"strong",7,"MLE"
0.141735331954499,0.0994827623893759,0.153966711373186,5,12,0.5,"strong",8,"MLE"
0.175783502728892,0.124923597048923,0.162046459387073,5,12,0.5,"strong",9,"MLE"
0.163736106575151,0.114962819789432,0.15969078537714,5,12,0.5,"strong",10,"MLE"
0.153238525966431,0.106937335430747,0.154408882927854,5,12,0.5,"noise",1,"MLE"
0.174038612104763,0.121287045755348,0.168935633338558,5,12,0.5,"noise",2,"MLE"
0.169666834082248,0.118870079981884,0.162155155535818,5,12,0.5,"noise",3,"MLE"
0.12807385687583,0.0932805400111804,0.147775914834163,5,12,0.5,"noise",4,"MLE"
0.109560068191383,0.0772168287865722,0.145290049021282,5,12,0.5,"noise",5,"MLE"
0.15011011971648,0.105867032647541,0.157270833751518,5,12,0.5,"noise",6,"MLE"
0.145626522915708,0.100946629054587,0.151019860118807,5,12,0.5,"noise",7,"MLE"
0.180592938268349,0.12474530955593,0.16548203928593,5,12,0.5,"noise",8,"MLE"
0.145450305302289,0.101237321099318,0.159994707494153,5,12,0.5,"noise",9,"MLE"
0.155411148078831,0.106713262440002,0.158632350816374,5,12,0.5,"noise",10,"MLE"
0.190525726668371,0.147156527441425,0.224241704936107,5,12,0.5,"halfnoise",1,"MLE"
0.160154444000976,0.123228797322408,0.213529299958912,5,12,0.5,"halfnoise",2,"MLE"
0.166300047266999,0.127169110794683,0.214362780599638,5,12,0.5,"halfnoise",3,"MLE"
0.125405577770276,0.0978788948917562,0.197192173075752,5,12,0.5,"halfnoise",4,"MLE"
0.235698017575196,0.184168020581801,0.240323921980204,5,12,0.5,"halfnoise",5,"MLE"
0.0786420387377134,0.0605968954609102,0.190634968208855,5,12,0.5,"halfnoise",6,"MLE"
0.105457319981304,0.080887826502552,0.198892163203105,5,12,0.5,"halfnoise",7,"MLE"
0.158820129919997,0.121555817750459,0.209327356974905,5,12,0.5,"halfnoise",8,"MLE"
0.178508404864043,0.145765976464798,0.214616197566365,5,12,0.5,"halfnoise",9,"MLE"
0.116715924037972,0.0890724698575224,0.196533000497068,5,12,0.5,"halfnoise",10,"MLE"
0.0786691225883011,0.0634957072191312,0.215740580550189,10,4,0,"equal",1,"MLE"
