"rMPSE","MAPE","Brier","EPV","P","rho","beta_pattern","sim"
0.14883318304757,0.119211440082971,0.2517780028,5,8,0,"halfnoise",7
0.137438014329564,0.113686521334605,0.2529710832,5,8,0,"halfnoise",8
0.155021949874993,0.125385417246424,0.2579631796,5,8,0,"halfnoise",9
0.157872231982104,0.12926768895983,0.2572458136,5,8,0,"halfnoise",10
0.117124382483619,0.0858587147150935,0.128691292,5,8,0.5,"equal",1
0.114158626491823,0.0800712715469851,0.1249638124,5,8,0.5,"equal",2
0.122488845282868,0.0894487727722371,0.1291614036,5,8,0.5,"equal",3
0.10746514183497,0.081991540033085,0.1277088216,5,8,0.5,"equal",4
0.101798938407303,0.0759378000796172,0.1239384328,5,8,0.5,"equal",5
0.159580775930916,0.121879146686533,0.13639336,5,8,0.5,"equal",6
0.115023158078249,0.0810820914587008,0.1285575532,5,8,0.5,"equal",7
0.118885274803086,0.0895510956775033,0.1295954744,5,8,0.5,"equal",8
0.138425786329953,0.105685944509852,0.1345008576,5,8,0.5,"equal",9
0.148060770417146,0.110352797038376,0.1375400224,5,8,0.5,"equal",10
0.11798495576549,0.0902682234148518,0.1697683668,5,8,0.5,"strong",1
0.165747079480194,0.136208748049856,0.1847027156,5,8,0.5,"strong",2
0.14867712141385,0.117068532715712,0.1792430388,5,8,0.5,"strong",3
0.102621895643054,0.077691882314558,0.166191342,5,8,0.5,"strong",4
0.163866309111868,0.129181353548286,0.1837784428,5,8,0.5,"strong",5
0.123700643588447,0.0970580130758348,0.172422202,5,8,0.5,"strong",6
0.110334145991276,0.0849008563801924,0.1700635888,5,8,0.5,"strong",7
0.152879852946091,0.117055697797993,0.1786440504,5,8,0.5,"strong",8
0.145659606777339,0.110878512223932,0.1793551996,5,8,0.5,"strong",9
0.124857642675091,0.0978038536039582,0.1712258496,5,8,0.5,"strong",10
0.173706515710476,0.141959537481704,0.199208024,5,8,0.5,"noise",1
0.169452640142684,0.137859571401282,0.2011977996,5,8,0.5,"noise",2
0.112958850428223,0.0891455833726521,0.1876393852,5,8,0.5,"noise",3
0.138936365662701,0.106978818575707,0.1897680036,5,8,0.5,"noise",4
0.209952480821074,0.16250966184399,0.2188362344,5,8,0.5,"noise",5
0.1992379500463,0.159580633771953,0.21393231,5,8,0.5,"noise",6
0.107739691963663,0.0839995575842162,0.1849915388,5,8,0.5,"noise",7
0.136044255191949,0.109029587065912,0.192417072,5,8,0.5,"noise",8
0.157443437919754,0.127423703904913,0.1968067632,5,8,0.5,"noise",9
0.118195920603797,0.0932690628392163,0.1841471916,5,8,0.5,"noise",10
0.150501645313679,0.119508616682836,0.230853422,5,8,0.5,"halfnoise",1
0.136672669900912,0.109558802496284,0.227654766,5,8,0.5,"halfnoise",2
0.154154635001824,0.129079207002266,0.2292458936,5,8,0.5,"halfnoise",3
0.148988535059517,0.121207142041537,0.229934078,5,8,0.5,"halfnoise",4
0.150507242191388,0.125148935774255,0.231188436,5,8,0.5,"halfnoise",5
0.130826504083719,0.106911517289302,0.2237955244,5,8,0.5,"halfnoise",6
0.137123905089945,0.110708260300863,0.2285228568,5,8,0.5,"halfnoise",7
0.148654387478072,0.121243911976236,0.2308983304,5,8,0.5,"halfnoise",8
0.142423745345063,0.110934009971099,0.2308172456,5,8,0.5,"halfnoise",9
0.128720814319676,0.101574088994453,0.2231744052,5,8,0.5,"halfnoise",10
0.203049096931488,0.171325828050085,0.2063251224,5,12,0,"equal",1
0.196672504889571,0.165090074234954,0.204730034,5,12,0,"equal",2
0.225458523725879,0.186715016486679,0.2137912224,5,12,0,"equal",3
0.217458358400476,0.180395575374002,0.2086851432,5,12,0,"equal",4
0.227149964118857,0.193397611804736,0.2151254268,5,12,0,"equal",5
0.216502290113473,0.18080987607006,0.2103783132,5,12,0,"equal",6
0.208803842477132,0.176236518695501,0.2102029392,5,12,0,"equal",7
0.205870938077571,0.16789477953352,0.2077693584,5,12,0,"equal",8
0.197669913745064,0.167219599886353,0.2025505728,5,12,0,"equal",9
0.228035411532184,0.194153453901241,0.216402504,5,12,0,"equal",10
0.170749572408473,0.140327628732253,0.2236210048,5,12,0,"strong",1
0.180050753729288,0.144765361759484,0.2270605484,5,12,0,"strong",2
0.142402441185315,0.116317680716346,0.2142972044,5,12,0,"strong",3
0.165969142503732,0.130842740676436,0.2187790028,5,12,0,"strong",4
0.191370810363155,0.156160187765807,0.2326272168,5,12,0,"strong",5
0.164437342469056,0.132370487797287,0.2215662384,5,12,0,"strong",6
0.160404679933309,0.129851378123786,0.2204585948,5,12,0,"strong",7
0.180926900458239,0.147841055581677,0.2288719604,5,12,0,"strong",8
0.162655235608188,0.131785666798869,0.2196843168,5,12,0,"strong",9
0.158011292075103,0.127886396016326,0.220547754,5,12,0,"strong",10
0.200282335056343,0.163794856599763,0.246894388,5,12,0,"noise",1
0.178155237845378,0.143585246429576,0.2383140964,5,12,0,"noise",2
0.180060082994012,0.147352677534604,0.2411333404,5,12,0,"noise",3
0.15274328599318,0.123377702865805,0.2307678876,5,12,0,"noise",4
0.166902823190069,0.133152117977101,0.2353960084,5,12,0,"noise",5
0.15593898785139,0.12581601218273,0.2335291348,5,12,0,"noise",6
0.182324753937725,0.148545772469169,0.2396845152,5,12,0,"noise",7
0.191623221165483,0.157257201693084,0.2443705104,5,12,0,"noise",8
0.166681023833061,0.134930894538809,0.2328488004,5,12,0,"noise",9
0.194377989636049,0.160231821254313,0.2433887604,5,12,0,"noise",10
0.144828552250561,0.117317257614247,0.2438393904,5,12,0,"halfnoise",1
0.178716902471452,0.144712766013123,0.2540585152,5,12,0,"halfnoise",2
0.149852945258611,0.121070568124782,0.2452123688,5,12,0,"halfnoise",3
0.158044861129942,0.12734785442644,0.2474334524,5,12,0,"halfnoise",4
0.15568894356805,0.125016842256947,0.2499804076,5,12,0,"halfnoise",5
0.159200193889934,0.128938138357771,0.2467056772,5,12,0,"halfnoise",6
0.138574614278253,0.111539397031434,0.2401967584,5,12,0,"halfnoise",7
0.160719959521033,0.130315696252342,0.2504455272,5,12,0,"halfnoise",8
0.17259479285805,0.141748468551212,0.2543239848,5,12,0,"halfnoise",9
